DATE,A191RL1Q225SBEA
1972-01-01,7.4
1972-04-01,9.6
1972-07-01,3.7
1972-10-01,6.8
1973-01-01,10.2
1973-04-01,4.6
1973-07-01,-2.2
1973-10-01,3.8
1974-01-01,-3.3
1974-04-01,1.1
1974-07-01,-3.8
1974-10-01,-1.6
1975-01-01,-4.7
1975-04-01,3.1
1975-07-01,6.8
1975-10-01,5.5
1976-01-01,9.3
1976-04-01,3.1
1976-07-01,2.1
1976-10-01,3
1977-01-01,4.7
1977-04-01,8.1
1977-07-01,7.3
1977-10-01,0
1978-01-01,1.4
1978-04-01,16.5
1978-07-01,4
1978-10-01,5.5
1979-01-01,0.8
1979-04-01,0.5
1979-07-01,2.9
1979-10-01,1
