,indexes,municipality,neighbors
0,"[1, 3, 8, 11, 12, 98]",Aeugst am Albis,"['Affoltern am Albis' 'Hausen am Albis' 'Mettmenstetten' 'Rifferswil'
 'Stallikon' 'Langnau am Albis']"
1,"[0, 4, 8, 9, 10, 12, 1421]",Affoltern am Albis,"['Aeugst am Albis' 'Hedingen' 'Mettmenstetten' 'Obfelden' 'Ottenbach'
 'Stallikon' 'Jonen']"
2,"[4, 12, 13, 159, 1434]",Bonstetten,['Hedingen' 'Stallikon' 'Wettswil am Albis' 'Aesch (ZH)' 'Islisberg']
3,"[0, 5, 11, 94, 95, 98, 704, 708]",Hausen am Albis,"['Aeugst am Albis' 'Kappel am Albis' 'Rifferswil' 'Hirzel' 'Horgen'
 'Langnau am Albis' 'Baar' 'Neuheim']"
4,"[1, 2, 12, 1412, 1421, 1434]",Hedingen,"['Affoltern am Albis' 'Bonstetten' 'Stallikon' 'Arni (AG)' 'Jonen'
 'Islisberg']"
5,"[3, 6, 8, 11, 704, 711]",Kappel am Albis,"['Hausen am Albis' 'Knonau' 'Mettmenstetten' 'Rifferswil' 'Baar'
 'Steinhausen']"
6,"[5, 7, 8, 705, 711]",Knonau,['Kappel am Albis' 'Maschwanden' 'Mettmenstetten' 'Cham' 'Steinhausen']
7,"[6, 8, 9, 705, 706]",Maschwanden,['Knonau' 'Mettmenstetten' 'Obfelden' 'Cham' 'Hünenberg']
8,"[0, 1, 5, 6, 7, 9, 11]",Mettmenstetten,"['Aeugst am Albis' 'Affoltern am Albis' 'Kappel am Albis' 'Knonau'
 'Maschwanden' 'Obfelden' 'Rifferswil']"
9,"[1, 7, 8, 10, 706, 1528]",Obfelden,"['Affoltern am Albis' 'Maschwanden' 'Mettmenstetten' 'Ottenbach'
 'Hünenberg' 'Merenschwand']"
10,"[1, 9, 1421, 1517, 1528]",Ottenbach,['Affoltern am Albis' 'Obfelden' 'Jonen' 'Aristau' 'Merenschwand']
11,"[0, 3, 5, 8]",Rifferswil,['Aeugst am Albis' 'Hausen am Albis' 'Kappel am Albis' 'Mettmenstetten']
12,"[0, 1, 2, 4, 13, 93, 98, 160, 166, 170]",Stallikon,"['Aeugst am Albis' 'Affoltern am Albis' 'Bonstetten' 'Hedingen'
 'Wettswil am Albis' 'Adliswil' 'Langnau am Albis' 'Birmensdorf (ZH)'
 'Uitikon' 'Zürich']"
13,"[2, 12, 160]",Wettswil am Albis,['Bonstetten' 'Stallikon' 'Birmensdorf (ZH)']
14,"[23, 25, 30, 32, 141]",Adlikon,['Andelfingen' 'Humlikon' 'Ossingen' 'Thalheim an der Thur' 'Dägerlen']
15,"[18, 27, 28, 31, 33]",Benken (ZH),['Dachsen' 'Laufen-Uhwiesen' 'Marthalen' 'Rheinau' 'Trüllikon']
16,"[17, 21, 36, 44, 1100]",Berg am Irchel,['Buch am Irchel' 'Flaach' 'Volken' 'Freienstein-Teufen' 'Rüdlingen']
17,"[16, 19, 36, 44, 142, 150]",Buch am Irchel,"['Berg am Irchel' 'Dorf' 'Volken' 'Freienstein-Teufen' 'Dättlikon'
 'Neftenbach']"
18,"[15, 27, 31]",Dachsen,['Benken (ZH)' 'Laufen-Uhwiesen' 'Rheinau']
19,"[17, 23, 24, 25, 36, 150]",Dorf,['Buch am Irchel' 'Andelfingen' 'Henggart' 'Humlikon' 'Volken' 'Neftenbach']
20,"[22, 27, 1101, 1611]",Feuerthalen,['Flurlingen' 'Laufen-Uhwiesen' 'Schaffhausen' 'Schlatt (TG)']
21,"[16, 23, 26, 28, 36, 1097, 1100]",Flaach,"['Berg am Irchel' 'Andelfingen' 'Kleinandelfingen' 'Marthalen' 'Volken'
 'Buchberg' 'Rüdlingen']"
22,"[20, 27, 1099, 1101]",Flurlingen,['Feuerthalen' 'Laufen-Uhwiesen' 'Neuhausen am Rheinfall' 'Schaffhausen']
23,"[14, 19, 21, 25, 26, 30, 36]",Andelfingen,"['Adlikon' 'Dorf' 'Flaach' 'Humlikon' 'Kleinandelfingen' 'Ossingen'
 'Volken']"
24,"[19, 25, 141, 148, 150]",Henggart,['Dorf' 'Humlikon' 'Dägerlen' 'Hettlingen' 'Neftenbach']
25,"[14, 19, 23, 24, 141]",Humlikon,['Adlikon' 'Dorf' 'Andelfingen' 'Henggart' 'Dägerlen']
26,"[21, 23, 28, 30, 33]",Kleinandelfingen,['Flaach' 'Andelfingen' 'Marthalen' 'Ossingen' 'Trüllikon']
27,"[15, 18, 20, 22, 33, 1099, 1611]",Laufen-Uhwiesen,"['Benken (ZH)' 'Dachsen' 'Feuerthalen' 'Flurlingen' 'Trüllikon'
 'Neuhausen am Rheinfall' 'Schlatt (TG)']"
28,"[15, 21, 26, 31, 33, 1097, 1100]",Marthalen,"['Benken (ZH)' 'Flaach' 'Kleinandelfingen' 'Rheinau' 'Trüllikon' 'Buchberg'
 'Rüdlingen']"
29,"[35, 37, 1618, 1654, 1661]",Oberstammheim,['Unterstammheim' 'Waltalingen' 'Neunforn' 'Hüttwilen' 'Wagenhausen']
30,"[14, 23, 26, 32, 33, 34, 37, 1618]",Ossingen,"['Adlikon' 'Andelfingen' 'Kleinandelfingen' 'Thalheim an der Thur'
 'Trüllikon' 'Truttikon' 'Waltalingen' 'Neunforn']"
31,"[15, 18, 28]",Rheinau,['Benken (ZH)' 'Dachsen' 'Marthalen']
32,"[14, 30, 138, 141, 143, 1618]",Thalheim an der Thur,['Adlikon' 'Ossingen' 'Altikon' 'Dägerlen' 'Dinhard' 'Neunforn']
33,"[15, 26, 27, 28, 30, 34, 1611]",Trüllikon,"['Benken (ZH)' 'Kleinandelfingen' 'Laufen-Uhwiesen' 'Marthalen' 'Ossingen'
 'Truttikon' 'Schlatt (TG)']"
34,"[30, 33, 37, 1609, 1611]",Truttikon,"['Ossingen' 'Trüllikon' 'Waltalingen' 'Basadingen-Schlattingen'
 'Schlatt (TG)']"
35,"[29, 37, 1609, 1610, 1661]",Unterstammheim,"['Oberstammheim' 'Waltalingen' 'Basadingen-Schlattingen' 'Diessenhofen'
 'Wagenhausen']"
36,"[16, 17, 19, 21, 23]",Volken,['Berg am Irchel' 'Buch am Irchel' 'Dorf' 'Flaach' 'Andelfingen']
37,"[29, 30, 34, 35, 1609, 1618]",Waltalingen,"['Oberstammheim' 'Ossingen' 'Truttikon' 'Unterstammheim'
 'Basadingen-Schlattingen' 'Neunforn']"
38,"[40, 47, 59, 71]",Bachenbülach,['Bülach' 'Höri' 'Winkel' 'Oberglatt']
39,"[41, 49, 51, 121, 137]",Bassersdorf,['Dietlikon' 'Kloten' 'Nürensdorf' 'Lindau' 'Wangen-Brüttisellen']
40,"[38, 42, 43, 45, 46, 47, 55, 59]",Bülach,"['Bachenbülach' 'Eglisau' 'Embrach' 'Glattfelden' 'Hochfelden' 'Höri'
 'Rorbas' 'Winkel']"
41,"[39, 49, 56, 128, 137]",Dietlikon,['Bassersdorf' 'Kloten' 'Wallisellen' 'Dübendorf' 'Wangen-Brüttisellen']
42,"[40, 44, 45, 48, 54, 55, 58, 1097, 1100]",Eglisau,"['Bülach' 'Freienstein-Teufen' 'Glattfelden' 'Hüntwangen' 'Rafz' 'Rorbas'
 'Wil (ZH)' 'Buchberg' 'Rüdlingen']"
