commune,BDP/PBD,CSP/PCS,CVP/PDC,EVP/PEV,FDP/PLR (PRD),GLP/PVL,PdA/PST,SP/PS,SVP/UDC,EDU/UDF,GPS/PES,Lega,MCR,SD/DS,Sol.,Übrige/Autres
Aadorf,3.39,0.0,20.07,2.07,10.09,5.81,0.0,10.42,40.3,2.51,5.19,0.0,0.0,0.0,0.0,0.16
Aarau,3.63,0.0,5.32,3.78,18.09,7.9,0.0,26.52,22.66,0.74,8.85,0.0,0.0,0.0,0.0,2.51
Aarberg,15.9,0.0,1.08,4.34,10.3,5.96,0.15,16.84,36.36,2.29,5.07,0.0,0.0,0.43,0.0,1.28
Aarburg,4.59,0.0,4.71,3.65,14.1,4.33,0.0,21.73,38.21,2.89,4.01,0.0,0.0,0.0,0.0,1.76
Aarwangen,13.74,0.0,1.44,2.47,12.31,4.18,0.12,17.61,38.13,2.73,4.77,0.0,0.0,0.37,0.0,2.13
Abtwil,4.48,0.0,14.6,0.91,12.11,6.75,0.0,6.5,48.56,0.57,3.28,0.0,0.0,0.0,0.0,2.24
Aclens,4.41,0.0,1.86,0.39,27.0,2.98,0.0,19.88,25.26,1.01,11.91,0.0,0.0,0.0,2.36,2.94
Acquarossa,0.0,0.0,30.58,0.0,21.03,0.53,0.14,15.87,7.42,0.0,2.44,19.19,0.0,0.0,0.0,2.81
Adelboden,6.25,0.0,0.45,6.74,5.33,3.52,0.04,4.73,46.03,23.6,1.74,0.0,0.0,0.34,0.0,1.23
Adligenswil,1.04,0.0,14.5,0.68,18.72,7.26,0.0,20.72,27.69,0.0,8.77,0.0,0.0,0.02,0.0,0.61
Adlikon,6.63,0.0,0.86,4.73,7.39,3.92,0.03,8.32,56.82,5.59,3.83,0.0,0.0,0.39,0.0,1.5
Adliswil,3.75,0.0,7.62,3.23,15.36,6.18,0.15,20.85,33.37,1.02,5.27,0.0,0.0,0.23,0.0,2.98
Aedermannsdorf,2.94,0.0,45.89,0.49,13.79,1.72,0.0,6.62,26.53,0.12,1.16,0.0,0.0,0.0,0.0,0.74
Aefligen,14.05,0.0,1.04,4.19,4.05,5.62,0.28,14.13,47.9,2.24,4.24,0.0,0.0,0.95,0.0,1.32
Aegerten,14.59,0.0,1.63,3.26,8.21,4.14,0.17,22.98,38.89,1.9,2.34,0.0,0.0,0.58,0.0,1.33
Aesch (BL),3.47,0.0,17.15,0.99,15.07,2.09,0.0,21.22,28.68,0.33,10.59,0.0,0.0,0.0,0.0,0.4
Aesch (LU),2.65,0.0,27.21,1.7,17.98,3.66,0.0,3.47,39.31,0.0,3.12,0.0,0.0,0.0,0.0,0.9
Aesch (ZH),5.79,0.0,6.11,1.51,19.89,8.08,0.03,12.55,39.13,1.61,3.12,0.0,0.0,0.29,0.0,1.9
Aeschi (SO),5.0,0.0,16.31,0.41,20.74,5.27,0.0,18.0,28.34,0.57,4.66,0.0,0.0,0.0,0.0,0.71
Aeschi bei Spiez,11.38,0.0,0.83,8.13,6.79,3.97,0.04,8.22,48.39,3.58,6.44,0.0,0.0,0.37,0.0,1.86
Aeugst am Albis,2.62,0.0,2.08,3.47,18.69,8.44,0.17,18.65,30.93,4.58,7.08,0.0,0.0,0.31,0.0,3.01
Affeltrangen,5.41,0.0,10.43,2.05,8.31,4.92,0.0,6.76,53.72,4.15,4.15,0.0,0.0,0.0,0.0,0.1
Affoltern am Albis,4.16,0.0,4.59,5.46,14.23,7.36,0.19,19.08,33.79,1.58,6.21,0.0,0.0,0.19,0.0,3.17
Affoltern im Emmental,11.75,0.0,1.11,7.36,5.13,2.23,0.17,9.24,52.72,5.25,2.77,0.0,0.0,0.46,0.0,1.8
Agarn,0.0,0.06,73.55,0.0,1.3,0.0,0.0,7.44,17.12,0.0,0.53,0.0,0.0,0.0,0.0,0.0
