Aadorf,3
Aarau,4
Aarberg,2
Aarburg,1
Aarwangen,2
Abtwil,3
Aclens,4
Acquarossa,6
Adelboden,2
Adligenswil,5
Adlikon,2
Adliswil,1
Aedermannsdorf,7
Aefligen,2
Aegerten,2
Aesch (BL),5
Aesch (LU),7
Aesch (ZH),1
Aeschi (SO),5
Aeschi bei Spiez,2
Aeugst am Albis,1
Affeltrangen,2
Affoltern am Albis,1
Affoltern im Emmental,2
Agarn,7
Agiez,4
Agno,6
Aigle,4
Aire-la-Ville,5
Airolo,6
Alberswil,7
Albinen,7
Albula/Alvra,7
Alchenstorf,2
Allaman,4
Alle,6
Allmendingen,2
Allschwil,5
Alpnach,2
Alpthal,2
Altbüron,7
Altdorf (UR),7
Altendorf,3
Alterswil,7
Altikon,2
Altishofen,7
Altnau,1
Alto Malcantone,6
Altstätten,3
Altwis,7
Amden,3
Amlikon-Bissegg,2
Ammerswil,3
Amriswil,3
Amsoldingen,2
Andeer,0
Andelfingen,1
Andermatt,7
Andiast,7
Andwil (SG),7
Anières,4
Anniviers,7
Anwil,0
Appenzell,7
Apples,4
Aranno,6
Arbaz,7
Arbedo-Castione,6
Arboldswil,2
Arbon,1
Arch,2
Arconciel,7
Ardon,7
Arisdorf,1
Aristau,3
Arlesheim,4
Arnex-sur-Nyon,4
Arnex-sur-Orbe,4
Arni (AG),3
Arni (BE),2
Arogno,6
Arosa,2
Arth,7
Arzier-Le Muids,5
Ascona,6
Assens,5
Astano,6
Attalens,7
Attelwil,2
Attinghausen,7
Attiswil,2
Au (SG),3
Aubonne,4
Auboranges,7
Auenstein,1
Augst,1
Ausserberg,7
Auswil,2
Autafond,7
Autigny,7
Auw,3
Avegno Gordevio,6
Avenches,4
Avers,2
Avry,7
Avully,4
Avusy,4
Ayent,7
Baar,7
Bachenbülach,1
Bachs,2
Bad Ragaz,3
Bad Zurzach,3
Baden,4
Bagnes,7
Baldingen,3
Balerna,6
Balgach,3
Ballaigues,1
Ballens,5
Ballwil,7
Balm bei Günsberg,5
