Name,BDP/PBD,CSP/PCS,CVP/PDC,EVP/PEV,FDP/PLR (PRD),GLP/PVL,PdA/PST,SP/PS,SVP/UDC,EDU/UDF,GPS/PES,Lega,MCR,SD/DS,Sol.
Aadorf,9,9,9,19,9,19,9,9,19,9,19,9,19,9,11
Aarau,21,21,21,6,21,21,21,21,21,21,21,21,21,21,1
Aarberg,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
Aarburg,6,6,21,6,2,6,6,21,6,6,6,6,21,6,1
Aarwangen,6,6,6,6,5,5,6,6,6,6,6,6,6,6,1
Abtwil,3,21,3,3,21,3,3,4,21,21,3,3,3,3,15
Aclens,20,20,20,20,20,20,20,20,20,20,20,20,20,20,6
Acquarossa,25,25,25,25,25,25,25,11,25,25,25,25,25,25,2
Adelboden,5,7,7,7,5,7,5,7,7,7,5,7,7,7,3
Adligenswil,3,3,3,3,13,3,3,13,22,3,3,3,3,3,20
Adlikon,9,9,9,9,19,9,9,9,9,9,19,9,9,9,4
Adliswil,9,9,9,9,9,9,9,4,9,9,9,9,9,9,20
Aedermannsdorf,6,6,6,6,6,6,6,6,6,6,6,6,6,6,22
Aefligen,6,5,5,5,5,5,5,5,5,5,6,5,6,5,15
Aegerten,5,5,5,5,5,5,5,5,5,5,6,5,5,5,16
Aesch (BL),2,2,2,2,2,2,2,2,2,2,6,2,2,2,22
Aesch (LU),21,21,3,21,21,21,3,4,21,21,21,3,21,21,10
Aesch (ZH),21,9,9,21,9,9,9,9,21,21,21,9,9,9,23
Aeschi (SO),6,6,6,5,5,6,5,6,5,5,5,6,6,6,18
Aeschi bei Spiez,5,5,5,5,12,5,5,5,5,5,5,5,5,5,12
Aeugst am Albis,9,9,9,9,9,9,9,9,9,9,3,9,9,9,20
Affeltrangen,19,19,19,19,15,19,19,19,19,19,19,19,19,19,11
Affoltern am Albis,21,9,9,21,21,9,9,9,9,21,3,9,21,9,23
Affoltern im Emmental,5,5,5,5,5,5,5,3,5,5,3,5,5,5,18
Agarn,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Agiez,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3
Agno,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2
Aigle,7,7,20,7,20,20,20,7,20,7,7,7,7,7,3
Aire-la-Ville,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14
Airolo,12,12,25,12,25,25,12,25,15,12,25,12,12,12,19
Alberswil,3,3,3,3,3,3,3,5,3,3,3,3,3,3,5
Albinen,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7
Albula/Alvra,11,11,11,11,11,11,11,11,11,11,11,11,11,11,21
Alchenstorf,6,5,6,5,5,6,5,6,5,5,5,6,6,6,18
Allaman,20,20,20,20,20,20,20,20,20,20,20,20,20,20,6
Alle,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15
Allmendingen,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
Allschwil,2,2,2,2,2,2,2,2,2,2,16,2,2,2,22
Alpnach,3,3,3,3,3,3,3,13,10,3,13,3,3,3,9
Alpthal,22,22,22,22,12,9,22,22,15,22,4,22,22,22,20
Altbüron,3,3,3,3,10,6,3,5,6,3,6,5,3,3,5
Altdorf (UR),12,12,12,12,12,12,12,22,12,12,12,12,22,12,9
Altendorf,22,22,22,22,22,9,15,22,9,22,22,9,22,15,21
Alterswil,17,17,17,17,17,5,17,5,5,17,17,17,17,17,1
Altikon,9,9,9,19,19,19,9,9,9,9,9,9,19,9,11
Altishofen,3,3,3,3,3,3,3,5,3,3,3,3,3,3,5
Altnau,19,19,19,19,19,19,19,19,19,19,19,19,19,19,25
Alto Malcantone,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2
Altstätten,15,15,15,15,15,15,15,15,15,15,15,15,15,15,21
Altwis,3,21,3,21,21,21,3,4,21,21,21,3,3,3,15
Amden,15,15,15,15,15,15,15,15,22,15,15,15,22,15,21
Amlikon-Bissegg,19,19,19,19,15,19,19,19,19,19,19,19,19,19,11
Ammerswil,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10
Amriswil,19,19,19,19,15,19,19,15,19,19,19,19,19,19,25
Amsoldingen,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
Andeer,11,11,11,11,11,11,11,11,11,11,11,11,11,11,21
Andelfingen,9,9,9,9,18,9,9,9,9,9,9,9,9,9,4
Andermatt,12,12,25,12,25,25,12,25,25,12,25,12,12,12,19
Andiast,11,11,15,11,25,11,11,11,15,11,11,11,11,11,21
Andwil (SG),15,15,15,15,15,15,19,15,15,15,19,15,15,15,25
Anières,8,8,8,8,8,8,8,8,20,8,20,8,8,8,14
Anniviers,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Anwil,2,21,21,21,2,2,21,21,21,21,2,21,21,21,25
Appenzell,15,15,1,15,15,15,15,15,15,15,15,15,15,15,21
Apples,20,20,20,20,20,20,20,20,20,20,20,20,20,20,6
Aranno,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2
Arbaz,7,7,7,7,7,7,7,5,7,7,5,7,7,7,7
Arbedo-Castione,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2
Arboldswil,2,2,2,2,2,2,2,2,2,2,6,2,2,2,22
Arbon,15,15,19,15,19,15,19,15,15,15,15,15,15,15,25
Arch,6,5,5,5,6,5,5,5,6,5,6,6,5,5,16
Arconciel,17,17,17,17,17,17,17,17,17,17,17,17,17,17,8
Ardon,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3
Arisdorf,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25
Aristau,21,21,3,21,21,21,21,21,21,21,21,9,21,21,23
Arlesheim,2,2,16,2,2,2,2,2,2,2,6,2,2,2,22
Arnex-sur-Nyon,20,20,20,20,20,20,20,20,20,20,20,20,20,20,6
Arnex-sur-Orbe,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3
Arni (AG),21,9,9,21,21,21,21,9,21,21,21,9,9,9,23
Arni (BE),5,5,5,5,5,5,5,5,5,5,5,5,5,5,18
Arogno,25,25,25,25,25,25,25,25,25,25,25,25,25,25,13
Arosa,11,11,11,11,11,11,11,11,11,11,11,11,11,11,21
Arth,3,3,13,3,3,9,22,4,9,22,4,3,3,3,20
Arzier-Le Muids,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3
Ascona,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2
Assens,20,20,20,20,20,20,20,20,17,20,20,20,20,20,6
Astano,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2
Attalens,20,20,20,20,17,20,17,17,17,20,20,20,20,20,3
Attelwil,21,21,21,21,21,21,21,21,3,21,21,21,21,21,5
Attinghausen,12,12,12,12,12,12,12,22,15,12,12,12,22,12,9
Attiswil,6,6,6,6,6,6,6,6,6,6,6,6,6,6,15
Au (SG),15,15,0,15,0,15,15,15,15,0,15,15,15,15,25
Aubonne,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3
Auboranges,20,20,20,20,17,20,20,17,17,20,20,20,20,20,19
Auenstein,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10
Augst,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22
Ausserberg,7,7,7,7,7,7,7,7,7,7,7,7,7,7,21
Auswil,5,5,5,5,3,5,5,13,5,5,3,5,5,5,18
Autafond,17,17,17,17,17,17,17,17,5,17,17,17,17,17,19
Autigny,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19
Auw,3,21,3,3,21,3,3,3,3,21,3,3,3,3,15
Avegno Gordevio,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2
Avenches,17,17,17,17,17,17,17,17,5,17,17,17,17,17,17
Avers,11,11,11,11,11,11,11,11,11,11,11,11,11,11,21
Avry,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19
Avully,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14
Avusy,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14
Ayent,7,7,7,7,20,7,7,5,7,7,7,7,7,7,7
Baar,9,9,9,9,9,9,9,9,9,9,9,9,9,9,20
Bachenbülach,9,9,9,9,9,9,9,9,9,9,9,9,9,9,23
Bachs,9,9,21,9,9,9,9,9,21,9,9,9,9,9,23
Bad Ragaz,11,11,15,15,12,11,11,11,11,15,15,15,11,11,21
Bad Zurzach,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10
Baden,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10
Bagnes,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3
Baldingen,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10
Balerna,25,25,25,25,25,25,25,25,25,25,25,25,25,25,13
Balgach,15,15,0,15,15,15,15,15,15,0,15,15,15,15,25
Ballaigues,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3
Ballens,20,20,20,20,20,20,20,20,20,20,20,20,20,20,6
Ballwil,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15
Balm bei Günsberg,6,6,6,6,6,6,6,6,6,6,6,6,6,6,15
Balsthal,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1
Baltschieder,7,7,7,7,7,7,7,7,7,7,7,7,7,7,21
Bangerten,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16
Bannwil,6,6,6,6,5,6,6,6,6,6,6,6,6,6,15
Barberêche,17,17,17,17,17,17,17,17,5,17,17,17,17,17,1
Bardonnex,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14
Bargen (BE),5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
Bargen (SH),18,18,18,18,18,18,18,19,18,18,18,18,18,18,23
Bas-Intyamon,17,17,17,17,17,17,17,17,7,7,20,17,17,17,3
Bas-Vully,17,17,17,17,17,17,17,5,5,17,17,17,17,17,17
Basadingen-Schlattingen,18,9,9,19,18,19,9,19,9,19,19,19,9,9,23
Basel,2,2,16,2,2,2,2,16,2,2,16,2,2,2,22
Basse-Allaine,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15
Bassersdorf,9,9,9,9,9,9,9,9,9,9,9,9,9,9,23
Bassins,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3
Bauen,12,12,12,12,12,12,12,11,12,12,12,12,22,12,9
Baulmes,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24
Bauma,9,9,9,9,9,9,9,9,22,9,9,9,9,9,11
Bavois,20,20,20,20,20,20,20,20,20,20,20,20,20,20,6
Beatenberg,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9
Beckenried,3,3,12,12,3,10,3,4,12,3,13,12,3,3,9
Bedano,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2
Bedigliora,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2
Bedretto,12,25,12,12,25,25,12,25,15,12,25,12,12,12,2
Beggingen,18,18,18,18,18,18,18,19,18,18,18,18,18,18,23
Begnins,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3
Beinwil (Freiamt),3,21,3,21,21,21,3,3,3,21,3,3,3,3,15
Beinwil (SO),6,6,2,6,6,14,6,6,6,6,6,6,6,6,22
Beinwil am See,21,21,3,21,21,21,21,21,3,21,21,3,21,21,10
Belfaux,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19
Bellach,6,6,5,6,6,6,6,5,6,6,6,6,6,6,15
