Name,BDP/PBD,CSP/PCS,CVP/PDC,EVP/PEV,FDP/PLR (PRD),GLP/PVL,PdA/PST,SP/PS,SVP/UDC,EDU/UDF,GPS/PES,Lega,MCR,SD/DS,Sol.
Aadorf,Zürich,Zürich,Winterthur,Frauenfeld,Zürich,Frauenfeld,Zürich,Winterthur,Frauenfeld,Zürich,Winterthur,Zürich,Frauenfeld,Zürich,Winterthur
Aarau,Aarau,Aarau,Zürich,Aarau,Aarau,Aarau,Aarau,Aarau,Aarau,Aarau,Aarau,Aarau,Aarau,Aarau,Bern
Aarberg,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern
Aarburg,Solothurn,Solothurn,Zürich,Aarau,Basel,Solothurn,Solothurn,Aarau,Solothurn,Solothurn,Solothurn,Solothurn,Aarau,Solothurn,Bern
Aarwangen,Solothurn,Solothurn,Solothurn,Aarau,Bern,Bern,Solothurn,Solothurn,Solothurn,Solothurn,Solothurn,Solothurn,Solothurn,Solothurn,Bern
Abtwil,Luzern,Aarau,Luzern,Luzern,Aarau,Luzern,Luzern,Zürich,Aarau,Aarau,Emmen,Luzern,Luzern,Luzern,Luzern
Aclens,Lausanne,Lausanne,Lausanne,Lausanne,Lausanne,Lausanne,Lausanne,Lausanne,Genève,Lausanne,Lausanne,Lausanne,Lausanne,Lausanne,Lausanne
Acquarossa,Lugano,Lugano,Lugano,Lugano,Lugano,Lugano,Lugano,Chur,Lugano,Lugano,Lugano,Lugano,Lugano,Lugano,Lugano
Adelboden,Bern,Sion,Sion,Sion,Bern,Sion,Bern,Brig-Glis,Sion,Sion,Bern,Sion,Sion,Sion,Bulle
Adligenswil,Luzern,Luzern,Luzern,Luzern,Küssnacht (SZ),Luzern,Luzern,Luzern,Luzern,Luzern,Emmen,Luzern,Luzern,Luzern,Zug
Adlikon,Zürich,Zürich,Winterthur,Zürich,Kreuzlingen,Zürich,Zürich,Winterthur,Zürich,Zürich,Winterthur,Zürich,Zürich,Zürich,Küsnacht (ZH)
Adliswil,Zürich,Zürich,Winterthur,Zürich,Zürich,Zürich,Zürich,Zürich,Zürich,Zürich,Zürich,Zürich,Zürich,Zürich,Zug
Aedermannsdorf,Solothurn,Solothurn,Solothurn,Aarau,Solothurn,Solothurn,Solothurn,Solothurn,Solothurn,Solothurn,Solothurn,Solothurn,Solothurn,Solothurn,Basel
Aefligen,Solothurn,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Solothurn,Bern,Solothurn,Bern,Luzern
Aegerten,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Solothurn,Bern,Bern,Bern,Biel/Bienne
Aesch (BL),Basel,Basel,Allschwil,Basel,Basel,Basel,Basel,Reinach (BL),Basel,Basel,Solothurn,Basel,Basel,Basel,Basel
Aesch (LU),Aarau,Aarau,Luzern,Baden,Aarau,Aarau,Luzern,Zürich,Aarau,Aarau,Aarau,Luzern,Aarau,Aarau,Baden
Aesch (ZH),Aarau,Zürich,Winterthur,Baden,Zürich,Zürich,Zürich,Winterthur,Aarau,Aarau,Aarau,Zürich,Zürich,Zürich,Zürich
Aeschi (SO),Solothurn,Solothurn,Solothurn,Bern,Bern,Solothurn,Bern,Solothurn,Bern,Bern,Bern,Solothurn,Solothurn,Solothurn,Vechigen
Aeschi bei Spiez,Bern,Bern,Bern,Bern,Schwyz,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Sigriswil
Aeugst am Albis,Zürich,Zürich,Winterthur,Zürich,Zürich,Zürich,Zürich,Winterthur,Zürich,Zürich,Emmen,Zürich,Zürich,Zürich,Zug
Affeltrangen,Wil (SG),Wil (SG),Wil (SG),Frauenfeld,St. Gallen,Frauenfeld,Wil (SG),Schaffhausen,Frauenfeld,Frauenfeld,Winterthur,Kreuzlingen,Frauenfeld,Kreuzlingen,Winterthur
Affoltern am Albis,Aarau,Zürich,Winterthur,Baden,Aarau,Zürich,Zürich,Winterthur,Zürich,Aarau,Emmen,Zürich,Aarau,Zürich,Zürich
Affoltern im Emmental,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Emmen,Bern,Bern,Emmen,Bern,Bern,Bern,Vechigen
Agarn,Sion,Sion,Sion,Sion,Sion,Sion,Sion,Brig-Glis,Sion,Sion,Sion,Sion,Sion,Sion,Sion
Agiez,Lausanne,Lausanne,Lausanne,Lausanne,Lausanne,Lausanne,Lausanne,Lausanne,Genève,Lausanne,Lausanne,Lausanne,Lausanne,Lausanne,Bulle
Agno,Lugano,Lugano,Lugano,Lugano,Lugano,Lugano,Lugano,Lugano,Lugano,Lugano,Lugano,Lugano,Lugano,Lugano,Lugano
Aigle,Sion,Sion,Lausanne,Sion,Lausanne,Lausanne,Lausanne,Brig-Glis,Genève,Sion,Sion,Sion,Sion,Sion,Bulle
Aire-la-Ville,Genève,Genève,Genève,Genève,Genève,Genève,Genève,Genève,Lancy,Genève,Genève,Genève,Genève,Genève,Genève
Airolo,Altdorf (UR),Altdorf (UR),Lugano,Altdorf (UR),Lugano,Lugano,Altdorf (UR),Lugano,St. Gallen,Altdorf (UR),Lugano,Altdorf (UR),Airolo,Altdorf (UR),Estavayer-le-Lac
Alberswil,Luzern,Luzern,Luzern,Luzern,Luzern,Luzern,Luzern,Bern,Kriens,Luzern,Emmen,Luzern,Luzern,Luzern,Sursee
Albinen,Sion,Sion,Sion,Sion,Sion,Sion,Sion,Bern,Sion,Sion,Sion,Sion,Sion,Sion,Sion
Albula/Alvra,Chur,Chur,Chur,Chur,Davos,Chur,Chur,Chur,Chur,Chur,Chur,Chur,Chur,Chur,Chur
Alchenstorf,Solothurn,Bern,Solothurn,Bern,Bern,Solothurn,Bern,Solothurn,Bern,Bern,Bern,Solothurn,Solothurn,Solothurn,Vechigen
Allaman,Lausanne,Lausanne,Lausanne,Lausanne,Lausanne,Lausanne,Lausanne,Lausanne,Genève,Lausanne,Lausanne,Lausanne,Lausanne,Lausanne,Lausanne
Alle,Delémont,Delémont,Delémont,Delémont,La Chaux-de-Fonds,Delémont,Delémont,Porrentruy,Porrentruy,Delémont,La Chaux-de-Fonds,Delémont,Delémont,Delémont,Luzern
Allmendingen,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Bern,Thun
Allschwil,Basel,Basel,Allschwil,Basel,Basel,Basel,Basel,Reinach (BL),Basel,Basel,Basel,Basel,Basel,Basel,Basel
Alpnach,Luzern,Luzern,Luzern,Luzern,Luzern,Luzern,Luzern,Luzern,Sarnen,Luzern,Stans,Luzern,Luzern,Luzern,Horw
Alpthal,Rapperswil-Jona,Schwyz,Einsiedeln,Schwyz,Schwyz,Zürich,Schwyz,Wädenswil,St. Gallen,Schwyz,Luzern,Schwyz,Schwyz,Schwyz,Zug
Altbüron,Luzern,Luzern,Luzern,Luzern,Langenthal,Solothurn,Luzern,Bern,Solothurn,Luzern,Solothurn,Bern,Luzern,Luzern,Sursee
Altdorf (UR),Altdorf (UR),Altdorf (UR),Altdorf (UR),Altdorf (UR),Schwyz,Altdorf (UR),Altdorf (UR),Wädenswil,Altdorf (UR),Altdorf (UR),Altdorf (UR),Altdorf (UR),Schwyz,Altdorf (UR),Horw
Altendorf,Rapperswil-Jona,Schwyz,Einsiedeln,Schwyz,Hombrechtikon,Zürich,St. Gallen,Wädenswil,Zürich,Schwyz,Rapperswil-Jona,Zürich,Schwyz,St. Gallen,Chur
Alterswil,Fribourg,Köniz,Fribourg,Fribourg,Montreux,Bern,Fribourg,Bern,Bern,Fribourg,Köniz,Fribourg,Fribourg,Fribourg,Bern
