Name,Label,Canton_name
Aadorf,19,Thurgau
Aarau,21,Aargau
Aarberg,5,Bern
Aarburg,21,Aargau
Aarwangen,5,Bern
Abtwil,21,Aargau
Aclens,20,Vaud
Acquarossa,25,Ticino
Adelboden,5,Bern
Adligenswil,3,Luzern
Adlikon,9,Zürich
Adliswil,9,Zürich
Aedermannsdorf,6,Solothurn
Aefligen,5,Bern
Aegerten,5,Bern
Aesch (BL),2,Basel-Landschaft
Aesch (LU),3,Luzern
Aesch (ZH),9,Zürich
Aeschi (SO),6,Solothurn
Aeschi bei Spiez,5,Bern
Aeugst am Albis,9,Zürich
Affeltrangen,19,Thurgau
Affoltern am Albis,9,Zürich
Affoltern im Emmental,5,Bern
Agarn,7,Valais
Agiez,20,Vaud
Agno,25,Ticino
Aigle,20,Vaud
Aire-la-Ville,8,Geneva
Airolo,25,Ticino
Alberswil,3,Luzern
Albinen,7,Valais
Albula/Alvra,11,Graubünden
Alchenstorf,5,Bern
Allaman,20,Vaud
Alle,14,Jura
Allmendingen,5,Bern
Allschwil,2,Basel-Landschaft
Alpnach,10,Obwalden
Alpthal,22,Schwyz
Altbüron,3,Luzern
Altdorf (UR),12,Uri
Altendorf,22,Schwyz
Alterswil,17,Fribourg
Altikon,9,Zürich
Altishofen,3,Luzern
Altnau,19,Thurgau
Alto Malcantone,25,Ticino
Altstätten,15,St. Gallen
Altwis,3,Luzern
Amden,15,St. Gallen
Amlikon-Bissegg,19,Thurgau
Ammerswil,21,Aargau
Amriswil,19,Thurgau
Amsoldingen,5,Bern
Andeer,11,Graubünden
Andelfingen,9,Zürich
Andermatt,12,Uri
Andiast,11,Graubünden
Andwil (SG),15,St. Gallen
Anières,8,Geneva
Anniviers,7,Valais
Anwil,2,Basel-Landschaft
Appenzell,1,Appenzell Innerrhoden
Apples,20,Vaud
Aranno,25,Ticino
Arbaz,7,Valais
Arbedo-Castione,25,Ticino
Arboldswil,2,Basel-Landschaft
Arbon,19,Thurgau
Arch,5,Bern
Arconciel,17,Fribourg
Ardon,7,Valais
Arisdorf,2,Basel-Landschaft
Aristau,21,Aargau
Arlesheim,2,Basel-Landschaft
Arnex-sur-Nyon,20,Vaud
Arnex-sur-Orbe,20,Vaud
Arni (AG),21,Aargau
Arni (BE),5,Bern
Arogno,25,Ticino
Arosa,11,Graubünden
Arth,22,Schwyz
Arzier-Le Muids,20,Vaud
Ascona,25,Ticino
Assens,20,Vaud
Astano,25,Ticino
Attalens,17,Fribourg
Attelwil,21,Aargau
Attinghausen,12,Uri
Attiswil,5,Bern
Au (SG),15,St. Gallen
Aubonne,20,Vaud
Auboranges,17,Fribourg
Auenstein,21,Aargau
Augst,2,Basel-Landschaft
Ausserberg,7,Valais
Auswil,5,Bern
Autafond,17,Fribourg
Autigny,17,Fribourg
Auw,21,Aargau
Avegno Gordevio,25,Ticino
Avenches,20,Vaud
Avers,11,Graubünden
Avry,17,Fribourg
Avully,8,Geneva
Avusy,8,Geneva
Ayent,7,Valais
Baar,4,Zug
Bachenbülach,9,Zürich
Bachs,9,Zürich
Bad Ragaz,15,St. Gallen
Bad Zurzach,21,Aargau
Baden,21,Aargau
Bagnes,7,Valais
Baldingen,21,Aargau
Balerna,25,Ticino
Balgach,15,St. Gallen
Ballaigues,20,Vaud
Ballens,20,Vaud
Ballwil,3,Luzern
