Name,Label,Canton_name
Aadorf,9,Winterthur
Aarau,21,Aarau
Aarberg,5,Bern
Aarburg,21,Aarau
Aarwangen,6,Solothurn
Abtwil,4,Zürich
Aclens,20,Lausanne
Acquarossa,11,Chur
Adelboden,7,Brig-Glis
Adligenswil,13,Luzern
Adlikon,9,Winterthur
Adliswil,4,Zürich
Aedermannsdorf,6,Solothurn
Aefligen,5,Bern
Aegerten,5,Bern
Aesch (BL),2,Reinach (BL)
Aesch (LU),4,Zürich
Aesch (ZH),9,Winterthur
Aeschi (SO),6,Solothurn
Aeschi bei Spiez,5,Bern
Aeugst am Albis,9,Winterthur
Affeltrangen,19,Schaffhausen
Affoltern am Albis,9,Winterthur
Affoltern im Emmental,3,Emmen
Agarn,7,Brig-Glis
Agiez,20,Lausanne
Agno,25,Lugano
Aigle,7,Brig-Glis
Aire-la-Ville,8,Genève
Airolo,25,Lugano
Alberswil,5,Bern
Albinen,5,Bern
Albula/Alvra,11,Chur
Alchenstorf,6,Solothurn
Allaman,20,Lausanne
Alle,14,Porrentruy
Allmendingen,5,Bern
Allschwil,2,Reinach (BL)
Alpnach,13,Luzern
Alpthal,22,Wädenswil
Altbüron,5,Bern
Altdorf (UR),22,Wädenswil
Altendorf,22,Wädenswil
Alterswil,5,Bern
Altikon,9,Winterthur
Altishofen,5,Bern
Altnau,19,Schaffhausen
Alto Malcantone,25,Lugano
Altstätten,15,St. Gallen
Altwis,4,Zürich
Amden,15,St. Gallen
Amlikon-Bissegg,19,Schaffhausen
Ammerswil,21,Aarau
Amriswil,15,St. Gallen
Amsoldingen,5,Bern
Andeer,11,Chur
Andelfingen,9,Winterthur
Andermatt,25,Lugano
Andiast,11,Chur
Andwil (SG),15,St. Gallen
Anières,8,Genève
Anniviers,7,Brig-Glis
Anwil,21,Aarau
Appenzell,15,St. Gallen
Apples,20,Lausanne
Aranno,25,Lugano
Arbaz,5,Bern
Arbedo-Castione,25,Lugano
Arboldswil,2,Reinach (BL)
Arbon,15,St. Gallen
Arch,5,Bern
Arconciel,17,Fribourg
Ardon,7,Brig-Glis
Arisdorf,2,Reinach (BL)
Aristau,21,Aarau
Arlesheim,2,Reinach (BL)
Arnex-sur-Nyon,20,Lausanne
Arnex-sur-Orbe,20,Lausanne
Arni (AG),9,Winterthur
Arni (BE),5,Bern
Arogno,25,Lugano
Arosa,11,Chur
Arth,4,Zürich
Arzier-Le Muids,20,Lausanne
Ascona,25,Lugano
Assens,20,Lausanne
Astano,25,Lugano
Attalens,17,Fribourg
Attelwil,21,Aarau
Attinghausen,22,Wädenswil
Attiswil,6,Solothurn
Au (SG),15,St. Gallen
Aubonne,20,Lausanne
Auboranges,17,Fribourg
Auenstein,21,Aarau
Augst,2,Reinach (BL)
Ausserberg,7,Brig-Glis
Auswil,13,Luzern
Autafond,17,Fribourg
Autigny,17,Fribourg
Auw,3,Emmen
Avegno Gordevio,25,Lugano
Avenches,17,Fribourg
Avers,11,Chur
Avry,17,Fribourg
Avully,8,Genève
Avusy,8,Genève
Ayent,5,Bern
Baar,9,Winterthur
Bachenbülach,9,Winterthur
Bachs,9,Winterthur
Bad Ragaz,11,Chur
Bad Zurzach,21,Aarau
Baden,21,Aarau
Bagnes,7,Brig-Glis
Baldingen,21,Aarau
Balerna,25,Lugano
Balgach,15,St. Gallen
Ballaigues,20,Lausanne
Ballens,20,Lausanne
