Name,Label,Canton_name
Aadorf,14,Winterthur
Aarau,23,Aarau
Aarberg,1,Biel/Bienne
Aarburg,0,Kriens
Aarwangen,0,Kriens
Abtwil,16,Luzern
Aclens,6,Montreux
Acquarossa,18,Lugano
Adelboden,12,Brig-Glis
Adligenswil,16,Luzern
Adlikon,11,Zürich
Adliswil,11,Zürich
Aedermannsdorf,25,Basel
Aefligen,25,Basel
Aegerten,1,Biel/Bienne
Aesch (BL),25,Basel
Aesch (LU),23,Aarau
Aesch (ZH),11,Zürich
Aeschi (SO),25,Basel
Aeschi bei Spiez,7,Köniz
Aeugst am Albis,11,Zürich
Affeltrangen,14,Winterthur
Affoltern am Albis,11,Zürich
Affoltern im Emmental,0,Kriens
Agarn,12,Brig-Glis
Agiez,20,Gland
Agno,21,Bellinzona
Aigle,12,Brig-Glis
Aire-la-Ville,5,Genève
Airolo,4,Chur
Alberswil,0,Kriens
Albinen,12,Brig-Glis
Albula/Alvra,10,Davos
Alchenstorf,25,Basel
Allaman,20,Gland
Alle,4,Chur
Allmendingen,7,Köniz
Allschwil,25,Basel
Alpnach,19,Baden
Alpthal,16,Luzern
Altbüron,0,Kriens
Altdorf (UR),4,Chur
Altendorf,14,Winterthur
Alterswil,7,Köniz
Altikon,14,Winterthur
Altishofen,0,Kriens
Altnau,14,Winterthur
Alto Malcantone,18,Lugano
Altstätten,14,Winterthur
Altwis,23,Aarau
Amden,14,Winterthur
Amlikon-Bissegg,14,Winterthur
Ammerswil,23,Aarau
Amriswil,14,Winterthur
Amsoldingen,7,Köniz
Andeer,10,Davos
Andelfingen,11,Zürich
Andermatt,4,Chur
Andiast,4,Chur
Andwil (SG),14,Winterthur
Anières,5,Genève
Anniviers,12,Brig-Glis
Anwil,3,Muttenz
Appenzell,14,Winterthur
Apples,5,Genève
Aranno,18,Lugano
Arbaz,2,Sion
Arbedo-Castione,21,Bellinzona
Arboldswil,3,Muttenz
Arbon,14,Winterthur
Arch,25,Basel
Arconciel,7,Köniz
Ardon,2,Sion
Arisdorf,3,Muttenz
Aristau,23,Aarau
Arlesheim,3,Muttenz
Arnex-sur-Nyon,5,Genève
Arnex-sur-Orbe,20,Gland
Arni (AG),11,Zürich
Arni (BE),17,Bern
Arogno,21,Bellinzona
Arosa,10,Davos
Arth,16,Luzern
Arzier-Le Muids,20,Gland
Ascona,18,Lugano
Assens,6,Montreux
Astano,21,Bellinzona
Attalens,6,Montreux
Attelwil,0,Kriens
Attinghausen,4,Chur
Attiswil,25,Basel
Au (SG),14,Winterthur
Aubonne,20,Gland
Auboranges,24,Lausanne
Auenstein,19,Baden
Augst,3,Muttenz
Ausserberg,12,Brig-Glis
Auswil,0,Kriens
Autafond,16,Luzern
Autigny,7,Köniz
Auw,16,Luzern
Avegno Gordevio,18,Lugano
Avenches,16,Luzern
Avers,2,Sion
Avry,16,Luzern
Avully,5,Genève
Avusy,5,Genève
Ayent,2,Sion
Baar,11,Zürich
Bachenbülach,11,Zürich
Bachs,20,Gland
Bad Ragaz,4,Chur
Bad Zurzach,19,Baden
Baden,19,Baden
Bagnes,2,Sion
Baldingen,19,Baden
Balerna,21,Bellinzona
Balgach,14,Winterthur
Ballaigues,20,Gland
Ballens,20,Gland
Ballwil,16,Luzern
Balm bei Günsberg,25,Basel
Balsthal,25,Basel
Baltschieder,12,Brig-Glis
Bangerten,17,Bern
Bannwil,25,Basel
Barberêche,5,Genève
Bardonnex,5,Genève
Bargen (BE),1,Biel/Bienne
Bargen (SH),14,Winterthur
Bas-Intyamon,7,Köniz
Bas-Vully,5,Genève
Basadingen-Schlattingen,14,Winterthur
Basel,25,Basel
Basse-Allaine,4,Chur
Bassersdorf,11,Zürich
Bassins,20,Gland
Bauen,4,Chur
Baulmes,5,Genève
Bauma,14,Winterthur
Bavois,20,Gland
Beatenberg,7,Köniz
Beckenried,19,Baden
Bedano,18,Lugano
Bedigliora,21,Bellinzona
Bedretto,18,Lugano
Beggingen,14,Winterthur
Begnins,20,Gland
Beinwil (Freiamt),16,Luzern
Beinwil (SO),4,Chur
Beinwil am See,0,Kriens
Belfaux,16,Luzern
Bellach,25,Basel
Bellevue,5,Genève
Bellikon,23,Aarau
Bellinzona,21,Bellinzona
Bellmund,1,Biel/Bienne
Bellwald,12,Brig-Glis
Belmont-sur-Lausanne,24,Lausanne
Belmont-sur-Yverdon,24,Lausanne
Belp,7,Köniz
Belprahon,4,Chur
Benken (SG),14,Winterthur
Benken (ZH),11,Zürich
Bennwil,3,Muttenz
Bercher,24,Lausanne
Berg (SG),14,Winterthur
Berg (TG),14,Winterthur
Berg am Irchel,11,Zürich
Bergdietikon,11,Zürich
Bergün/Bravuogn,2,Sion
Berikon,11,Zürich
Beringen,14,Winterthur
Berken,25,Basel
Berlingen,14,Winterthur
Bern,17,Bern
Berneck,14,Winterthur
Bernex,5,Genève
Berolle,20,Gland
Beromünster,0,Kriens
Besenbüren,23,Aarau
Bettenhausen,0,Kriens
Bettens,6,Montreux
Bettingen,25,Basel
Bettlach,25,Basel
Bettmeralp,12,Brig-Glis
Bettwiesen,14,Winterthur
Bettwil,23,Aarau
Beurnevésin,4,Chur
Bevaix,22,La Chaux-de-Fonds
Bever,2,Sion
Bex,2,Sion
Biasca,18,Lugano
Biberist,25,Basel
Biberstein,19,Baden
Bichelsee-Balterswil,14,Winterthur
Biel-Benken,25,Basel
Biel/Bienne,1,Biel/Bienne
Biezwil,25,Basel
Biglen,7,Köniz
Billens-Hennens,24,Lausanne
Binn,12,Brig-Glis
Binningen,25,Basel
Bioggio,18,Lugano
Bioley-Magnoux,24,Lausanne
Bioley-Orjulaz,6,Montreux
Birmensdorf (ZH),11,Zürich
Birmenstorf (AG),19,Baden
Birr,23,Aarau
Birrhard,23,Aarau
Birrwil,23,Aarau
Birsfelden,25,Basel
Birwinken,14,Winterthur
Bischofszell,14,Winterthur
Bissone,21,Bellinzona
Bister,12,Brig-Glis
Bitsch,12,Brig-Glis
Bivio,2,Sion
Bière,20,Gland
Blatten,12,Brig-Glis
Blauen,4,Chur
Bleienbach,0,Kriens
Blenio,18,Lugano
Blitzingen,12,Brig-Glis
Blonay,6,Montreux
